	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Control	HPA	QT_121004_21	QT_121004_23	QT_121004_25	QT_121004_27	QT_121004_31	QT_121004_33	QT_121004_35	QT_121004_37	QT_121004_41	QT_121004_43	QT_121004_26	QT_121004_34	QT_121004_42	QT_121004_48	QT_121004_56	QT_121004_64	QT_121004_66		
251	M260T153	Inf	13.52349006	1.01E-05	260.1604578	260.1601291	260.1605638	153.245	152.96	153.63	4	0	4	0	0	0	0	0	0	0	0	0	0	1776.624757	1353.420327	1277.841573	1386.621785	990.9054844	1149.090834	1129.90563		
790	M263T315	Inf	5.613085621	0.001364353	263.1488418	263.1480707	263.1492128	315.33	315.12	315.48	4	0	4	0	0	0	0	0	0	0	0	0	0	3894.199425	2126.805749	2144.551906	2229.313429	523.3302442	1594.21357	2463.750795		
1205	M279T601	Inf	3.768945326	0.009300241	279.178106	279.1778024	279.1786778	600.9	600.24	600.91	7	0	7	0	0	0	0	0	0	0	0	0	0	10562.41945	7604.977906	4600.367441	11580.768	20993.02317	2220.487334	4999.713008		
1410	M280T835	Inf	3.247731323	0.017516112	279.6432184	279.6427977	279.6434713	835.375	835.22	835.56	4	0	4	0	0	0	0	0	0	0	0	0	0	4198.185101	4555.306123	1319.877398	2388.567433	84.51092297	548.4200155	1688.758252		
1365	M282T74	Inf	3.395754373	0.014571927	282.1440531	282.1429204	282.1443309	73.825	73.56	74.2	4	0	4	0	0	0	0	0	0	0	0	0	0	4292.844744	1972.582301	1336.615718	1460.483945	395.7176862	1837.377527	452.5597648		
1442	M289T836	Inf	3.173492772	0.019233546	288.64802	288.6464633	288.6493781	835.56	835.38	835.88	4	0	4	0	0	0	0	0	0	0	0	0	0	5085.614407	5801.500661	1351.14902	2122.592233	487.4399797	484.9859058	2524.220455		
1768	M296T836	Inf	2.575297351	0.042034408	295.6426391	295.6423576	295.6427555	835.73	835.2	836.54	5	0	5	0	0	0	0	0	0	0	0	0	0	8400.892806	10440.0864	719.3251894	3535.397737	82.74200408	340.9152269	4395.688271		
821	M296T55	Inf	5.431478276	0.001615248	296.0987206	296.0984395	296.0992473	54.745	54.5	55.15	6	0	6	0	0	0	0	0	0	0	0	0	0	2888.434799	4193.701996	2247.166168	2768.735606	6251.028492	2511.177435	1570.112346		
401	M297T66	Inf	10.20360247	5.16E-05	297.0657908	297.064651	297.0664648	66.415	65.95	66.66	4	0	4	0	0	0	0	0	0	0	0	0	0	913.1145837	1245.312122	1321.561891	799.0870854	1582.975074	1003.267522	1576.436699		
719	M297T369	Inf	6.18766598	0.000820111	297.1276481	297.1270265	297.1280111	368.91	368.23	369.3	4	0	4	0	0	0	0	0	0	0	0	0	0	816.815111	2972.003817	1444.069939	1919.958661	2579.692383	1078.41653	2377.40253		
